Year,F1,F2,F3,F4,F5,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Operating Expenses
1,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
2,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
3,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
4,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
5,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
6,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
7,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
8,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
9,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
10,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
11,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
12,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
13,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
14,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
15,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
16,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
17,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
18,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
19,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
20,10000,24000,5000,2500,500,0,0,0,0,0,0,0,0,0,0,42000
